datetime,irr_10,irr_12,irr_2,irr_4,irr_6,irr_8
2020-07-27T23:00:00Z,2669.5,764.2,2583.4,9644.5,8266.7,1463.9
2020-07-27T23:30:00Z,1894.5,1227.1,2325,4994.5,5166.7,1550
2020-07-28T00:00:00Z,2755.6,193.8,10333.4,1044.1,1173.3,387.5
2020-07-28T00:30:00Z,1980.6,161.5,11022.3,796.5,904.2,301.4
2020-07-28T01:00:00Z,1377.8,139.9,8611.2,592,656.6,215.3
2020-07-28T01:30:00Z,570.5,161.5,1377.8,2927.8,1980.6,462.9
2020-07-28T02:00:00Z,376.7,43.1,753.5,893.4,635.1,129.2
2020-07-28T02:30:00Z,204.5,53.8,462.9,183,172.2,43.1
2020-07-28T03:00:00Z,53.8,0,150.7,53.8,75.3,10.8
2020-07-28T03:30:00Z,0,0,0,0,0,0
2020-07-28T04:00:00Z,0,0,0,0,0,0
2020-07-28T04:30:00Z,0,0,0,0,0,0
2020-07-28T05:00:00Z,0,0,0,0,0,0
2020-07-28T05:30:00Z,0,0,0,0,0,0
2020-07-28T06:00:00Z,0,0,0,0,0,0
2020-07-28T06:30:00Z,0,0,0,0,0,0
2020-07-28T07:00:00Z,0,0,0,0,0,0
2020-07-28T07:30:00Z,0,0,0,0,0,0
2020-07-28T08:00:00Z,0,0,0,0,0,0
2020-07-28T08:30:00Z,0,0,0,0,0,0
2020-07-28T09:00:00Z,0,0,0,0,0,0
2020-07-28T09:30:00Z,0,0,0,0,0,0
2020-07-28T10:00:00Z,0,0,0,0,0,0
2020-07-28T10:30:00Z,0,0,0,0,0,0
2020-07-28T11:00:00Z,0,0,0,0,0,0
2020-07-28T11:30:00Z,0,0,0,0,0,0
2020-07-28T12:00:00Z,0,0,10.8,0,0,0
2020-07-28T12:30:00Z,64.6,0,172.2,86.1,53.8,21.5
2020-07-28T13:00:00Z,139.9,32.3,376.7,183,107.6,53.8
2020-07-28T13:30:00Z,290.6,53.8,645.8,376.7,204.5,107.6
2020-07-28T14:00:00Z,452.1,86.1,1087.2,893.4,301.4,193.8
2020-07-28T14:30:00Z,1291.7,193.8,2411.1,4650,775,699.7
2020-07-28T15:00:00Z,1345.5,193.8,2497.2,6544.5,925.7,688.9
2020-07-28T15:30:00Z,1377.8,215.3,2411.1,7577.8,1097.9,688.9
2020-07-28T16:00:00Z,1722.2,258.3,2927.8,8266.7,1227.1,882.6
2020-07-28T16:30:00Z,2238.9,602.8,3788.9,2325,4994.5,635.1
2020-07-28T17:00:00Z,4477.8,1463.9,10677.8,1550,4133.4,1302.4
2020-07-28T17:30:00Z,5338.9,1636.1,19977.9,1636.1,3788.9,1722.2
2020-07-28T18:00:00Z,5511.1,1636.1,3616.7,2583.4,6544.5,1377.8
2020-07-28T18:30:00Z,5166.7,871.9,5338.9,1894.5,3444.5,2411.1
2020-07-28T19:00:00Z,5511.1,828.8,6544.5,1980.6,3444.5,2669.5
2020-07-28T19:30:00Z,5511.1,764.2,6200,2066.7,3272.2,2583.4
2020-07-28T20:00:00Z,4133.4,592,18600.1,4650,2497.2,1722.2
2020-07-28T20:30:00Z,5166.7,624.3,11022.3,3100,2755.6,2411.1
2020-07-28T21:00:00Z,3444.5,559.7,22044.6,5166.7,2238.9,1550
2020-07-28T21:30:00Z,3788.9,1141,7233.4,5511.1,4822.3,936.5
2020-07-28T22:00:00Z,4305.6,516.7,7577.8,1636.1,2325,2497.2
2020-07-28T22:30:00Z,4305.6,688.9,6200,1463.9,2755.6,2755.6
2020-07-28T23:00:00Z,3272.2,527.4,7233.4,1377.8,2152.8,2927.8
2020-07-28T23:30:00Z,2066.7,322.9,4994.5,1130.2,1377.8,1550
2020-07-29T00:00:00Z,409,86.1,1108.7,312.2,430.6,193.8
2020-07-29T00:30:00Z,441.3,86.1,1345.5,344.4,398.3,258.3
2020-07-29T01:00:00Z,1184,441.3,2152.8,1550,2325,387.5
2020-07-29T01:30:00Z,516.7,118.4,3444.5,1636.1,549,236.8
2020-07-29T02:00:00Z,538.2,75.3,1076.4,312.2,452.1,452.1
2020-07-29T02:30:00Z,312.2,53.8,527.4,204.5,312.2,269.1
2020-07-29T03:00:00Z,86.1,10.8,161.5,75.3,139.9,32.3
2020-07-29T03:30:00Z,0,0,0,0,0,0
2020-07-29T04:00:00Z,0,0,0,0,0,0
2020-07-29T04:30:00Z,0,0,0,0,0,0
2020-07-29T05:00:00Z,0,0,0,0,0,0
2020-07-29T05:30:00Z,0,0,0,0,0,0
2020-07-29T06:00:00Z,0,0,0,0,0,0
2020-07-29T06:30:00Z,0,0,0,0,0,0
2020-07-29T07:00:00Z,0,0,0,0,0,0
2020-07-29T07:30:00Z,0,0,0,0,0,0
2020-07-29T08:00:00Z,0,0,0,0,0,0
2020-07-29T08:30:00Z,0,0,0,0,0,0
2020-07-29T09:00:00Z,0,0,0,0,0,0
2020-07-29T09:30:00Z,0,0,0,0,0,0
2020-07-29T10:00:00Z,0,0,0,0,0,0
2020-07-29T10:30:00Z,0,0,0,0,0,0
2020-07-29T11:00:00Z,0,0,0,0,0,0
2020-07-29T11:30:00Z,0,0,0,0,0,0
2020-07-29T12:00:00Z,0,0,0,0,0,0
2020-07-29T12:30:00Z,32.3,0,139.9,43.1,32.3,10.8
2020-07-29T13:00:00Z,129.2,10.8,366,129.2,118.4,64.6
2020-07-29T13:30:00Z,215.3,32.3,882.6,204.5,161.5,107.6
2020-07-29T14:00:00Z,333.7,64.6,1097.9,312.2,269.1,172.2
2020-07-29T14:30:00Z,839.6,129.2,4305.6,721.2,624.3,667.4
2020-07-29T15:00:00Z,1054.9,183,6544.5,1302.4,828.8,785.8
2020-07-29T15:30:00Z,1377.8,226,11711.2,1550,1054.9,1044.1
2020-07-29T16:00:00Z,1636.1,290.6,19289,2325,1194.8,1076.4
2020-07-29T16:30:00Z,2066.7,807.3,8611.2,8611.2,2066.7,667.4
2020-07-29T17:00:00Z,4133.4,1550,3100,3100,5511.1,850.4
2020-07-29T17:30:00Z,4650,1636.1,3444.5,3272.2,5511.1,968.8
2020-07-29T18:00:00Z,5166.7,1636.1,3272.2,3444.5,5511.1,1216.3
2020-07-29T18:30:00Z,6200,1463.9,3788.9,2669.5,4822.3,1722.2
2020-07-29T19:00:00Z,4822.3,1119.5,3444.5,2497.2,3788.9,1334.7
2020-07-29T19:30:00Z,5511.1,1119.5,4133.4,2669.5,5166.7,1227.1
2020-07-29T20:00:00Z,5166.7,807.3,5166.7,2152.8,3616.7,1377.8
2020-07-29T20:30:00Z,5511.1,731.9,13777.9,5338.9,6200,1313.2
2020-07-29T21:00:00Z,5511.1,549,6200,4305.6,7233.4,1808.3
2020-07-29T21:30:00Z,4305.6,785.8,24800.2,6544.5,4477.8,925.7
2020-07-29T22:00:00Z,4133.4,570.5,7577.8,4305.6,5511.1,968.8
2020-07-29T22:30:00Z,1808.3,570.5,2927.8,1550,1722.2,1044.1
2020-07-29T23:00:00Z,1377.8,409,2411.1,936.5,1194.8,645.8
2020-07-29T23:30:00Z,1044.1,247.6,2066.7,990.3,796.5,559.7
2020-07-30T00:00:00Z,904.2,183,1463.9,882.6,871.9,452.1
2020-07-30T00:30:00Z,785.8,183,1550,785.8,775,344.4
2020-07-30T01:00:00Z,527.4,183,2066.7,409,818.1,290.6
2020-07-30T01:30:00Z,387.5,129.2,1463.9,290.6,592,204.5
2020-07-30T02:00:00Z,226,75.3,947.2,172.2,366,118.4
2020-07-30T02:30:00Z,172.2,43.1,721.2,139.9,290.6,96.9
2020-07-30T03:00:00Z,32.3,0,161.5,21.5,53.8,10.8
2020-07-30T03:30:00Z,0,0,0,0,0,0
2020-07-30T04:00:00Z,0,0,0,0,0,0
2020-07-30T04:30:00Z,0,0,0,0,0,0
2020-07-30T05:00:00Z,0,0,0,0,0,0
2020-07-30T05:30:00Z,0,0,0,0,0,0
2020-07-30T06:00:00Z,0,0,0,0,0,0
2020-07-30T06:30:00Z,0,0,0,0,0,0
2020-07-30T07:00:00Z,0,0,0,0,0,0
2020-07-30T07:30:00Z,0,0,0,0,0,0
2020-07-30T08:00:00Z,0,0,0,0,0,0
2020-07-30T08:30:00Z,0,0,0,0,0,0
2020-07-30T09:00:00Z,0,0,0,0,0,0
2020-07-30T09:30:00Z,0,0,0,0,0,0
2020-07-30T10:00:00Z,0,0,0,0,0,0
2020-07-30T10:30:00Z,0,0,0,0,0,0
2020-07-30T11:00:00Z,0,0,0,0,0,0
2020-07-30T11:30:00Z,0,0,0,0,0,0
2020-07-30T12:00:00Z,0,0,0,0,0,0
2020-07-30T12:30:00Z,32.3,0,86.1,32.3,32.3,10.8
2020-07-30T13:00:00Z,96.9,0,226,96.9,86.1,64.6
2020-07-30T13:30:00Z,236.8,10.8,505.9,290.6,215.3,107.6
2020-07-30T14:00:00Z,344.4,21.5,667.4,516.7,279.9,150.7
2020-07-30T14:30:00Z,1151.7,75.3,1463.9,3100,731.9,441.3
2020-07-30T15:00:00Z,1463.9,107.6,1808.3,3961.1,925.7,559.7
2020-07-30T15:30:00Z,1550,161.5,2325,3100,1054.9,581.3
2020-07-30T16:00:00Z,1367,581.3,9300.1,1044.1,2152.8,850.4
2020-07-30T16:30:00Z,2066.7,592,23422.4,1022.6,4133.4,1636.1
2020-07-30T17:00:00Z,2927.8,549,14466.8,1173.3,5511.1,2411.1
2020-07-30T17:30:00Z,4305.6,430.6,10333.4,1463.9,5166.7,3444.5
2020-07-30T18:00:00Z,4822.3,473.6,11711.2,1550,5166.7,3444.5
2020-07-30T18:30:00Z,5166.7,462.9,10333.4,1894.5,6544.5,3616.7
2020-07-30T19:00:00Z,5511.1,419.8,10333.4,2755.6,6200,3444.5
2020-07-30T19:30:00Z,5511.1,430.6,7577.8,2411.1,5166.7,3272.2
2020-07-30T20:00:00Z,5511.1,398.3,5511.1,3100,4650,3100
2020-07-30T20:30:00Z,5511.1,387.5,5166.7,3788.9,4650,3100
2020-07-30T21:00:00Z,5166.7,355.2,6200,3788.9,3788.9,2755.6
2020-07-30T21:30:00Z,5338.9,322.9,4305.6,3788.9,3616.7,2755.6
2020-07-30T22:00:00Z,4994.5,279.9,3616.7,4650,2927.8,2152.8
2020-07-30T22:30:00Z,4477.8,247.6,4822.3,4650,2755.6,2152.8
2020-07-30T23:00:00Z,3788.9,204.5,2927.8,5166.7,2152.8,1550
2020-07-30T23:30:00Z,3100,161.5,2497.2,5166.7,1722.2,1270.1
2020-07-31T00:00:00Z,2238.9,129.2,2238.9,3961.1,1377.8,958
2020-07-31T00:30:00Z,1173.3,129.2,5511.1,570.5,2152.8,1173.3
2020-07-31T01:00:00Z,775,215.3,8266.7,527.4,1722.2,538.2
2020-07-31T01:30:00Z,258.3,43.1,1216.3,204.5,376.7,150.7
2020-07-31T02:00:00Z,236.8,32.3,1097.9,161.5,355.2,150.7
2020-07-31T02:30:00Z,172.2,21.5,592,150.7,183,75.3
2020-07-31T03:00:00Z,32.3,0,204.5,32.3,43.1,21.5
2020-07-31T03:30:00Z,0,0,0,0,0,0
2020-07-31T04:00:00Z,0,0,0,0,0,0
2020-07-31T04:30:00Z,0,0,0,0,0,0
2020-07-31T05:00:00Z,0,0,0,0,0,0
2020-07-31T05:30:00Z,0,0,0,0,0,0
2020-07-31T06:00:00Z,0,0,0,0,0,0
2020-07-31T06:30:00Z,0,0,0,0,0,0
2020-07-31T07:00:00Z,0,0,0,0,0,0
2020-07-31T07:30:00Z,0,0,0,0,0,0
2020-07-31T08:00:00Z,0,0,0,0,0,0
2020-07-31T08:30:00Z,0,0,0,0,0,0
2020-07-31T09:00:00Z,0,0,0,0,0,0
2020-07-31T09:30:00Z,0,0,0,0,0,0
2020-07-31T10:00:00Z,0,0,0,0,0,0
2020-07-31T10:30:00Z,0,0,0,0,0,0
2020-07-31T11:00:00Z,0,0,0,0,0,0
2020-07-31T11:30:00Z,0,0,0,0,0,0
2020-07-31T12:00:00Z,0,0,0,0,0,0
2020-07-31T12:30:00Z,43.1,0,129.2,43.1,43.1,0
2020-07-31T13:00:00Z,118.4,0,301.4,129.2,129.2,32.3
2020-07-31T13:30:00Z,183,10.8,452.1,226,193.8,53.8
2020-07-31T14:00:00Z,258.3,21.5,570.5,344.4,258.3,75.3
2020-07-31T14:30:00Z,1044.1,86.1,1463.9,3272.2,731.9,344.4
2020-07-31T15:00:00Z,1162.5,398.3,8611.2,667.4,1894.5,344.4
2020-07-31T15:30:00Z,1259.4,473.6,17222.3,796.5,3444.5,538.2
2020-07-31T16:00:00Z,1636.1,495.1,16533.4,1011.8,5338.9,699.7
2020-07-31T16:30:00Z,2411.1,462.9,27555.7,1097.9,6200,958
2020-07-31T17:00:00Z,3272.2,419.8,19289,1151.7,7233.4,1237.9
2020-07-31T17:30:00Z,4477.8,409,15844.5,1377.8,8611.2,1463.9
2020-07-31T18:00:00Z,4994.5,387.5,10677.8,1722.2,6544.5,1636.1
2020-07-31T18:30:00Z,5166.7,441.3,18600.1,1636.1,6544.5,1550
2020-07-31T19:00:00Z,5511.1,366,13089,2497.2,5511.1,1808.3
2020-07-31T19:30:00Z,6200,398.3,7577.8,3961.1,5511.1,1980.6
2020-07-31T20:00:00Z,2669.5,613.5,6200,2325,3100,1151.7
2020-07-31T20:30:00Z,4133.4,366,8266.7,1808.3,4650,2325
2020-07-31T21:00:00Z,1377.8,226,5511.1,1087.2,2066.7,818.1
2020-07-31T21:30:00Z,5338.9,764.2,12400.1,2325,6544.5,7577.8
2020-07-31T22:00:00Z,2755.6,441.3,5511.1,5511.1,1980.6,968.8
2020-07-31T22:30:00Z,2497.2,355.2,3100,6200,1894.5,850.4
2020-07-31T23:00:00Z,1722.2,419.8,2411.1,5511.1,1550,656.6
2020-07-31T23:30:00Z,1334.7,430.6,2755.6,4133.4,1270.1,527.4
2020-08-01T00:00:00Z,1065.6,312.2,2755.6,3616.7,1076.4,785.8
2020-08-01T00:30:00Z,818.1,258.3,1722.2,2927.8,871.9,635.1
2020-08-01T01:00:00Z,570.5,333.7,1324,2066.7,624.3,473.6
2020-08-01T01:30:00Z,925.7,86.1,7233.4,430.6,1636.1,850.4
2020-08-01T02:00:00Z,473.6,43.1,3272.2,236.8,828.8,387.5
2020-08-01T02:30:00Z,193.8,10.8,1173.3,118.4,279.9,129.2
2020-08-01T03:00:00Z,32.3,0,161.5,21.5,43.1,32.3
2020-08-01T03:30:00Z,0,0,0,0,0,0
2020-08-01T04:00:00Z,0,0,0,0,0,0
2020-08-01T04:30:00Z,0,0,0,0,0,0
2020-08-01T05:00:00Z,0,0,0,0,0,0
2020-08-01T05:30:00Z,0,0,0,0,0,0
2020-08-01T06:00:00Z,0,0,0,0,0,0
2020-08-01T06:30:00Z,0,0,0,0,0,0
2020-08-01T07:00:00Z,0,0,0,0,0,0
2020-08-01T07:30:00Z,0,0,0,0,0,0
2020-08-01T08:00:00Z,0,0,0,0,0,0
2020-08-01T08:30:00Z,0,0,0,0,0,0
2020-08-01T09:00:00Z,0,0,0,0,0,0
2020-08-01T09:30:00Z,0,0,0,0,0,0
2020-08-01T10:00:00Z,0,0,0,0,0,0
2020-08-01T10:30:00Z,0,0,0,0,0,0
2020-08-01T11:00:00Z,0,0,0,0,0,0
2020-08-01T11:30:00Z,0,0,0,0,0,0
2020-08-01T12:00:00Z,0,0,0,0,0,0
2020-08-01T12:30:00Z,32.3,0,172.2,53.8,53.8,10.8
2020-08-01T13:00:00Z,86.1,0,301.4,204.5,107.6,32.3
2020-08-01T13:30:00Z,215.3,21.5,667.4,699.7,290.6,75.3
2020-08-01T14:00:00Z,258.3,32.3,947.2,947.2,301.4,96.9
2020-08-01T14:30:00Z,635.1,183,5511.1,1894.5,807.3,290.6
2020-08-01T15:00:00Z,1184,161.5,11711.2,1033.3,1463.9,549
2020-08-01T15:30:00Z,2669.5,139.9,3788.9,828.8,5511.1,1377.8
2020-08-01T16:00:00Z,3272.2,172.2,5166.7,1022.6,6200,1636.1
2020-08-01T16:30:00Z,2583.4,183,4133.4,1173.3,4650,958
2020-08-01T17:00:00Z,3616.7,204.5,4133.4,1324,6200,1463.9
2020-08-01T17:30:00Z,4305.6,398.3,4477.8,2583.4,3961.1,1313.2
2020-08-01T18:00:00Z,5338.9,344.4,6200,2066.7,5511.1,1636.1
2020-08-01T18:30:00Z,2497.2,215.3,5166.7,1463.9,3100,968.8
2020-08-01T19:00:00Z,3272.2,279.9,7233.4,1636.1,3616.7,1173.3
2020-08-01T19:30:00Z,2755.6,473.6,4994.5,3272.2,2927.8,936.5
2020-08-01T20:00:00Z,2927.8,462.9,3961.1,3100,2755.6,914.9
2020-08-01T20:30:00Z,5166.7,1130.2,3272.2,1550,10333.4,4650
2020-08-01T21:00:00Z,2066.7,430.6,1894.5,699.7,3616.7,1550
2020-08-01T21:30:00Z,2066.7,516.7,3100,1001,3616.7,1377.8
2020-08-01T22:00:00Z,1894.5,430.6,2583.4,850.4,3272.2,1377.8
2020-08-01T22:30:00Z,1550,452.1,2669.5,968.8,2927.8,1065.6
2020-08-01T23:00:00Z,1302.4,366,3100,893.4,2325,828.8
2020-08-01T23:30:00Z,1076.4,344.4,2238.9,807.3,2066.7,688.9
2020-08-02T00:00:00Z,1280.9,549,4305.6,1722.2,2669.5,764.2
2020-08-02T00:30:00Z,871.9,301.4,1894.5,721.2,1722.2,527.4
2020-08-02T01:00:00Z,559.7,204.5,2927.8,409,538.2,387.5
2020-08-02T01:30:00Z,538.2,172.2,2755.6,419.8,549,279.9
2020-08-02T02:00:00Z,441.3,96.9,1033.3,333.7,473.6,279.9
2020-08-02T02:30:00Z,96.9,21.5,322.9,96.9,118.4,43.1
2020-08-02T03:00:00Z,21.5,0,75.3,21.5,32.3,10.8
2020-08-02T03:30:00Z,0,0,0,0,0,0
2020-08-02T04:00:00Z,0,0,0,0,0,0
2020-08-02T04:30:00Z,0,0,0,0,0,0
2020-08-02T05:00:00Z,0,0,0,0,0,0
2020-08-02T05:30:00Z,0,0,0,0,0,0
2020-08-02T06:00:00Z,0,0,0,0,0,0
2020-08-02T06:30:00Z,0,0,0,0,0,0
2020-08-02T07:00:00Z,0,0,0,0,0,0
2020-08-02T07:30:00Z,0,0,0,0,0,0
2020-08-02T08:00:00Z,0,0,0,0,0,0
2020-08-02T08:30:00Z,0,0,0,0,0,0
2020-08-02T09:00:00Z,0,0,0,0,0,0
2020-08-02T09:30:00Z,0,0,0,0,0,0
2020-08-02T10:00:00Z,0,0,0,0,0,0
2020-08-02T10:30:00Z,0,0,0,0,0,0
2020-08-02T11:00:00Z,0,0,0,0,0,0
2020-08-02T11:30:00Z,0,0,0,0,0,0
2020-08-02T12:00:00Z,0,0,0,0,0,0
2020-08-02T12:30:00Z,32.3,0,139.9,32.3,53.8,0
2020-08-02T13:00:00Z,118.4,10.8,452.1,107.6,139.9,32.3
2020-08-02T13:30:00Z,193.8,21.5,753.5,183,290.6,64.6
2020-08-02T14:00:00Z,301.4,21.5,1065.6,226,387.5,107.6
2020-08-02T14:30:00Z,678.1,118.4,8611.2,807.3,850.4,322.9
2020-08-02T15:00:00Z,979.5,161.5,9300.1,1054.9,1194.8,484.4
2020-08-02T15:30:00Z,1173.3,258.3,15155.7,1808.3,1377.8,570.5
2020-08-02T16:00:00Z,2238.9,279.9,3616.7,2152.8,3100,645.8
2020-08-02T16:30:00Z,3616.7,226,3444.5,1636.1,6544.5,1076.4
2020-08-02T17:00:00Z,4477.8,247.6,3100,1550,9300.1,1463.9
2020-08-02T17:30:00Z,4822.3,258.3,2927.8,1550,9644.5,1722.2
2020-08-02T18:00:00Z,5338.9,290.6,3788.9,1636.1,10333.4,1722.2
2020-08-02T18:30:00Z,5511.1,312.2,4477.8,1636.1,9644.5,1980.6
2020-08-02T19:00:00Z,5511.1,344.4,3961.1,1808.3,9300.1,1980.6
2020-08-02T19:30:00Z,5511.1,355.2,4305.6,1808.3,6544.5,2066.7
2020-08-02T20:00:00Z,5511.1,366,5338.9,1636.1,5511.1,2152.8
2020-08-02T20:30:00Z,5166.7,495.1,3616.7,3100,5511.1,2152.8
2020-08-02T21:00:00Z,5166.7,419.8,4994.5,2755.6,6200,2497.2
2020-08-02T21:30:00Z,5166.7,398.3,4822.3,2583.4,6200,2325
2020-08-02T22:00:00Z,4994.5,290.6,3616.7,1808.3,9300.1,2927.8
2020-08-02T22:30:00Z,4477.8,215.3,3272.2,1334.7,7233.4,5166.7
2020-08-02T23:00:00Z,3788.9,183,3100,1162.5,6200,4305.6
2020-08-02T23:30:00Z,2583.4,139.9,3100,785.8,3961.1,2066.7
2020-08-03T00:00:00Z,1022.6,419.8,13089,3616.7,1119.5,570.5
2020-08-03T00:30:00Z,818.1,322.9,8266.7,3788.9,893.4,441.3
2020-08-03T01:00:00Z,301.4,64.6,1463.9,764.2,355.2,172.2
2020-08-03T01:30:00Z,462.9,107.6,1722.2,1184,527.4,441.3
2020-08-03T02:00:00Z,322.9,53.8,1130.2,688.9,430.6,333.7
2020-08-03T02:30:00Z,172.2,21.5,602.8,322.9,215.3,161.5
2020-08-03T03:00:00Z,21.5,0,86.1,43.1,32.3,32.3
2020-08-03T03:30:00Z,0,0,0,0,0,0
2020-08-03T04:00:00Z,0,0,0,0,0,0
2020-08-03T04:30:00Z,0,0,0,0,0,0
2020-08-03T05:00:00Z,0,0,0,0,0,0
2020-08-03T05:30:00Z,0,0,0,0,0,0
2020-08-03T06:00:00Z,0,0,0,0,0,0
2020-08-03T06:30:00Z,0,0,0,0,0,0
2020-08-03T07:00:00Z,0,0,0,0,0,0
2020-08-03T07:30:00Z,0,0,0,0,0,0
2020-08-03T08:00:00Z,0,0,0,0,0,0
2020-08-03T08:30:00Z,0,0,0,0,0,0
2020-08-03T09:00:00Z,0,0,0,0,0,0
2020-08-03T09:30:00Z,0,0,0,0,0,0
2020-08-03T10:00:00Z,0,0,0,0,0,0
2020-08-03T10:30:00Z,0,0,0,0,0,0
2020-08-03T11:00:00Z,0,0,0,0,0,0
2020-08-03T11:30:00Z,0,0,0,0,0,0
2020-08-03T12:00:00Z,0,0,0,0,0,0
2020-08-03T12:30:00Z,21.5,0,118.4,21.5,43.1,21.5
2020-08-03T13:00:00Z,129.2,10.8,376.7,107.6,183,118.4
2020-08-03T13:30:00Z,226,21.5,882.6,172.2,312.2,193.8
2020-08-03T14:00:00Z,419.8,43.1,1044.1,312.2,570.5,366
2020-08-03T14:30:00Z,1377.8,86.1,1808.3,538.2,2325,1151.7
2020-08-03T15:00:00Z,1463.9,118.4,2927.8,742.7,2066.7,1033.3
2020-08-03T15:30:00Z,861.1,183,6544.5,1377.8,1119.5,516.7
2020-08-03T16:00:00Z,1550,355.2,5511.1,3272.2,1808.3,818.1
2020-08-03T16:30:00Z,1463.9,226,4133.4,1980.6,1636.1,1001
2020-08-03T17:00:00Z,958,193.8,3788.9,1636.1,1033.3,559.7
2020-08-03T17:30:00Z,2411.1,549,11711.2,5338.9,2411.1,1377.8
2020-08-03T18:00:00Z,4133.4,645.8,7233.4,5166.7,3961.1,1636.1
2020-08-03T18:30:00Z,5166.7,473.6,4305.6,2927.8,5166.7,3444.5
2020-08-03T19:00:00Z,5166.7,495.1,5166.7,2755.6,5338.9,3616.7
2020-08-03T19:30:00Z,5511.1,430.6,4305.6,2927.8,7233.4,3961.1
2020-08-03T20:00:00Z,6200,376.7,4477.8,3788.9,6200,7233.4
2020-08-03T20:30:00Z,4994.5,559.7,6544.5,1636.1,4650,2497.2
2020-08-03T21:00:00Z,2755.6,925.7,6544.5,2152.8,3100,2066.7
2020-08-03T21:30:00Z,2497.2,947.2,7577.8,2497.2,2927.8,1722.2
2020-08-03T22:00:00Z,3272.2,958,9644.5,2152.8,2411.1,1722.2
2020-08-03T22:30:00Z,1463.9,161.5,2755.6,947.2,1001,807.3
2020-08-03T23:00:00Z,4994.5,914.9,7577.8,2669.5,3444.5,1636.1
2020-08-03T23:30:00Z,2927.8,624.3,4305.6,1894.5,2755.6,1894.5
2020-08-04T00:00:00Z,2755.6,193.8,5166.7,3788.9,1237.9,710.4
2020-08-04T00:30:00Z,1463.9,236.8,6544.5,6200,1173.3,699.7
2020-08-04T01:00:00Z,1377.8,183,13089,2755.6,1227.1,624.3
2020-08-04T01:30:00Z,839.6,86.1,4477.8,1636.1,441.3,236.8
2020-08-04T02:00:00Z,139.9,21.5,1367,678.1,516.7,279.9
2020-08-04T02:30:00Z,150.7,10.8,366,150.7,172.2,139.9
2020-08-04T03:00:00Z,21.5,0,96.9,21.5,53.8,21.5
2020-08-04T03:30:00Z,0,0,0,0,0,0
2020-08-04T04:00:00Z,0,0,0,0,0,0
2020-08-04T04:30:00Z,0,0,0,0,0,0
2020-08-04T05:00:00Z,0,0,0,0,0,0
2020-08-04T05:30:00Z,0,0,0,0,0,0
2020-08-04T06:00:00Z,0,0,0,0,0,0
2020-08-04T06:30:00Z,0,0,0,0,0,0
2020-08-04T07:00:00Z,0,0,0,0,0,0
2020-08-04T07:30:00Z,0,0,0,0,0,0
2020-08-04T08:00:00Z,0,0,0,0,0,0
2020-08-04T08:30:00Z,0,0,0,0,0,0
2020-08-04T09:00:00Z,0,0,0,0,0,0
2020-08-04T09:30:00Z,0,0,0,0,0,0
2020-08-04T10:00:00Z,0,0,0,0,0,0
2020-08-04T10:30:00Z,0,0,0,0,0,0
2020-08-04T11:00:00Z,0,0,0,0,0,0
2020-08-04T11:30:00Z,0,0,0,0,0,0
2020-08-04T12:00:00Z,0,0,0,0,0,0
2020-08-04T12:30:00Z,32.3,0,96.9,32.3,32.3,32.3
2020-08-04T13:00:00Z,96.9,0,290.6,96.9,107.6,107.6
2020-08-04T13:30:00Z,183,10.8,559.7,161.5,150.7,172.2
2020-08-04T14:00:00Z,215.3,21.5,1001,247.6,193.8,258.3
2020-08-04T14:30:00Z,1377.8,129.2,8266.7,3272.2,710.4,2325
2020-08-04T15:00:00Z,1980.6,193.8,9300.1,4305.6,1001,3272.2
2020-08-04T15:30:00Z,2411.1,355.2,18600.1,5338.9,1550,4133.4
2020-08-04T16:00:00Z,1894.5,742.7,8611.2,3444.5,4133.4,2755.6
2020-08-04T16:30:00Z,1550,409,2927.8,1227.1,4477.8,1151.7
2020-08-04T17:00:00Z,1980.6,366,3100,1367,3616.7,1076.4
2020-08-04T17:30:00Z,2325,430.6,3961.1,1550,3961.1,1636.1
2020-08-04T18:00:00Z,2755.6,484.4,3616.7,1636.1,3961.1,1808.3
2020-08-04T18:30:00Z,3444.5,452.1,3444.5,1550,3788.9,1980.6
2020-08-04T19:00:00Z,4133.4,409,3444.5,1722.2,4822.3,2325
2020-08-04T19:30:00Z,5166.7,387.5,5166.7,1722.2,3100,2411.1
2020-08-04T20:00:00Z,4477.8,419.8,3444.5,1550,3444.5,2411.1
2020-08-04T20:30:00Z,5166.7,387.5,4650,1550,3272.2,2497.2
2020-08-04T21:00:00Z,4994.5,344.4,3616.7,1463.9,2927.8,2497.2
2020-08-04T21:30:00Z,4650,322.9,3616.7,1463.9,2497.2,2411.1
2020-08-04T22:00:00Z,3961.1,301.4,3788.9,1377.8,2497.2,2152.8
2020-08-04T22:30:00Z,3961.1,247.6,5338.9,1636.1,1894.5,2152.8
2020-08-04T23:00:00Z,3444.5,204.5,2669.5,1248.6,1722.2,1980.6
2020-08-04T23:30:00Z,2927.8,172.2,3272.2,1119.5,1377.8,1550
2020-08-05T00:00:00Z,1722.2,258.3,16533.4,1033.3,5511.1,2669.5
2020-08-05T00:30:00Z,731.9,871.9,5338.9,592,1808.3,1463.9
2020-08-05T01:00:00Z,527.4,301.4,6200,624.3,2927.8,1722.2
2020-08-05T01:30:00Z,624.3,118.4,882.6,419.8,462.9,236.8
2020-08-05T02:00:00Z,344.4,53.8,505.9,861.1,699.7,236.8
2020-08-05T02:30:00Z,129.2,21.5,204.5,193.8,279.9,96.9
